0,1,2,3,4,5
주식회사트리비젼,"연봉4,000만원~4,000만원",경력3년,생산(하네스)관리자모집,등록일:2025-07-10,마감일:2025-08-09
풍기산업주식회사,"연봉3,800만원~4,000만원",경력무관,"풍기산업(주)광주공장보전팀사무직인원채용공고(신입,경력)",등록일:2025-07-10,마감일:2025-07-31
제일환경엔지니어링,"연봉4,000만원~4,500만원",경력3년,사무및현장지원겸업가능인재채용,등록일:2025-07-10,마감일:2025-09-08
신광프라스틱,"연봉4,000만원이상",경력5년,생산관리팀원모집,등록일:2025-07-10,마감일:2025-09-09
기광산업(주),"연봉3,470만원이상",경력무관,자동차차체부품제조업-원가관리신입·경력채용,등록일:2025-07-10,마감일:2025-09-09
동남전기통신（주）,"연봉3,000만원이상",경력무관,전기공사관리(공무)및전기내선공신입/경력채용공고,등록일:2025-07-10,마감일:2025-07-27
㈜신세계씨앤이,"연봉3,000만원~3,800만원",경력1년,[신세계씨앤이]특수청소현장팀팀원채용공고,등록일:2025-07-10,마감일:2025-08-09
대진철강,"연봉3,200만원~3,300만원",신입,"동국제강,고려제강협력사사원모집(주5일근무)",등록일:2025-07-10,마감일:2025-07-13
지티에스GTS,"연봉3,100만원~3,200만원",신입/경력,"병역특례채용(보충역)/전기차용모터생산/주5일근무/상여,각...",등록일:2025-07-10,마감일:2025-07-17
(주)한국에이엠에프,"연봉4,000만원~6,000만원",경력3년,"(주)한국에이엠에프생산관리직모집[차장급,부장급]",등록일:2025-07-09,마감일:2025-09-08
성진정공（주）,"연봉4,500만원이상",경력2년,"제조업정규직)생산관리/구매,자재경력직채용",등록일:2025-07-09,마감일:2025-07-23
주식회사우진프라스틱,"연봉4,700만원~8,000만원",경력10년,생산공장장모집,등록일:2025-07-09,마감일:2025-07-31
주식회사젠탑(GENTOP),"연봉5,000만원~5,000만원",경력5년,기술부프로젝트(PM)관리자(팀장/부장/본부장)를초대합니다.,등록일:2025-07-09,마감일:2025-08-16
위팩트(WIFECT),"연봉5,000만원이상",경력5년,기술부프로젝트(PM)관리자(팀장/부장/본부장)모집,등록일:2025-07-09,마감일:2025-08-16
시앤디전자㈜,"연봉4,128만원~4,128만원",경력무관,현장관리및납품관리담당사원채용,등록일:2025-07-09,마감일:2025-09-08
주식회사예성기공,"연봉3,100만원이상",경력무관,사무직생산관리팀사원모집,등록일:2025-07-09,마감일:2025-07-24
토담주식회사,"연봉4,500만원이상",경력5년,건설현장품질관리자(중급이상)모집합니다,등록일:2025-07-09,마감일:2025-09-08
해양건설산업주식회사,"연봉4,000만원이상",경력1년,건축현장품질관리자구인합니다.,등록일:2025-07-09,마감일:2025-09-08
주식회사명일종합건설,"연봉3,500만원~5,000만원",경력5년,(주)명일종합건설경력채용공고,등록일:2025-07-09,마감일:2025-09-08
(주)신창,"연봉4,500만원이상",경력3년,(주)신창드라이아이스부문관리자모집,등록일:2025-07-09,마감일:2025-09-08
삼한정공(주),"연봉3,000만원~4,000만원",경력1년,생산관리사원모집,등록일:2025-07-09,마감일:2025-09-06
주식회사무진조경,상여별도100%,경력무관,조경기술자(현장관리),등록일:2025-07-09,마감일:2025-09-08
한양이엔씨주식회사,"연봉3,000만원~3,500만원",경력2년,기계설비공무구인합니다,등록일:2025-07-09,마감일:2025-09-03
주식회사대영식품어업회사법인,"연봉4,500만원~5,000만원",경력무관,식품생산현장관리자구인합니다,등록일:2025-07-09,마감일:2025-07-23
주식회사경동산업경주공장,"연봉2,920만원~3,160만원",경력5년,생산기술팀경력자구인합니다.,등록일:2025-07-09,마감일:2025-07-31
퓨텍스주식회사,"연봉4,200만원~4,800만원",경력1년,기계제조/가공현장작업자구인(5인미만사업장),등록일:2025-07-09,마감일:2025-09-08
（주）링크텍,"연봉4,000만원이상",경력3년,전장장비구축(CS)관리사원모집,등록일:2025-07-09,마감일:2025-07-23
주식회사해오름뉴라이프,"연봉3,000만원~3,000만원",신입,생산직사원모집,등록일:2025-07-09,마감일:2025-09-07
(주)디에스피엔지니어링,"연봉3,800만원~4,200만원",경력1년,공무업무,등록일:2025-07-09,마감일:2025-09-08
더조은컴퍼니,"연봉3,000만원~3,600만원",경력무관,조립포장관리자모집,등록일:2025-07-09,마감일:2025-07-22
주식회사은혜기업,"연봉3,700만원이상",경력5년,생산관리자채용,등록일:2025-07-09,마감일:2025-07-25
（주）오르비텍,"연봉3,580만원이상",경력무관,(주)오르비텍항공사업본부생산관리팀직원모집,등록일:2025-07-09,마감일:2025-09-08
㈜씨앤에스,"연봉3,500만원~4,000만원",신입/경력,삼성전자반도체물류자동화설비유지보수Engineer모집,등록일:2025-07-09,마감일:2025-08-08
주식회사백산인더스트리,"연봉4,200만원~4,900만원",경력무관,[SPC대기업그룹]식품단순생산등/상여300/정규직...,등록일:2025-07-09,마감일:2025-08-08
대영공업(화성우정지점),"연봉3,600만원~4,900만원",신입/경력,"품질관리신입,경력채용",등록일:2025-07-09,마감일:2025-07-31
해인건설㈜,"연봉3,000만원~4,000만원",경력5년,현장공무보조품질관리자,등록일:2025-07-09,마감일:2025-07-22
주식회사청암,"연봉3,000만원~3,000만원",경력무관,스무디생산팀정규직사원모집,등록일:2025-07-09,마감일:2025-08-08
(주)와이컴,"연봉2,600만원~4,000만원",신입/경력,와이컴생산(주/야)신입및경력모집,등록일:2025-07-09,마감일:2025-07-30
태흥개발㈜,"연봉4,000만원~7,000만원",경력3년,[종합건설]실내건축(인테리어)현장소장모집공고,등록일:2025-07-09,마감일:2025-07-31
동해이앤씨주식회사,"연봉3,000만원이상",경력1년,전기공사관리(공무)및전기내선공신입/경력채용공고,등록일:2025-07-08,마감일:2025-09-07
경민실업,"연봉3,300만원~3,500만원",경력무관,조선.해양(삼성중공업1차협력업체)철의장품생산관리자모집합니다...,등록일:2025-07-08,마감일:2025-09-07
주식회사범진기업,"연봉3,300만원~3,500만원",경력무관,조선철의장생산관리자채용,등록일:2025-07-08,마감일:2025-09-07
"주식회사보백씨엔에스(BOBAEKC&S.,LTD)","연봉3,000만원~3,600만원",경력3년,제조업생산및생산관리대리~과장급경력채용,등록일:2025-07-08,마감일:2025-07-29
에스와이(주)영천지점,"연봉2,800만원~3,500만원",경력무관,품질담당(Q.C)경력직및신입사원모집,등록일:2025-07-08,마감일:2025-09-07
(주)금우기공,"연봉4,000만원이상",경력2년,금우기공영업/생산관리인원모집,등록일:2025-07-08,마감일:2025-07-31
주식회사대원,"연봉5,000만원이상",경력5년,[전남강진군]토목현장공무직원채용,등록일:2025-07-08,마감일:2025-07-20
현서테크주식회사,"연봉5,000만원이상",경력무관,자동차부품제조업의생산관리자구인,등록일:2025-07-08,마감일:2025-07-28
기가에이치앤티주식회사,"연봉5,000만원~8,000만원",경력10년,공장장급생산관리자한분모집합니다.,등록일:2025-07-08,마감일:2025-09-07
주식회사디피엔,"연봉3,500만원~6,000만원",경력3년,2025년기계.소방(공무.정산)사원모집,등록일:2025-07-08,마감일:2025-09-07
（주）코빅스,"연봉4,000만원~4,000만원",경력4년,(주)코빅스화장품제조팀경력사원채용,등록일:2025-07-08,마감일:2025-07-22
주식회사대원산기,"연봉3,300만원~3,600만원",경력무관,산업용크레인제작및설치관리자모집,등록일:2025-07-08,마감일:2025-09-07
